location,total_cases,total_deaths,population,cases_per_million
Sint Maarten (Dutch part),11051.0,92.0,44192.0,250067.8855901521
Slovakia,1878002.0,21227.0,5643455.0,332775.22368832567
Slovenia,1356582.0,10083.0,2119843.0,639944.5619321809
Solomon Islands,25954.0,199.0,724272.0,35834.603574347755
Somalia,27334.0,1361.0,17597508.0,1553.2881132942232
South Africa,4072765.0,102595.0,59893884.0,67999.6809023105
South America,68809418.0,1354187.0,436816679.0,157524.7038586638
South Korea,34571873.0,35934.0,51815808.0,667207.0615978815
South Sudan,18823.0,147.0,10913172.0,1724.7964203258227
Spain,13980340.0,121852.0,47558632.0,293960.0954039217
Sri Lanka,672798.0,16907.0,21832150.0,30816.845798512746
Sudan,63993.0,5046.0,46874200.0,1365.2072995379121
Suriname,82501.0,1406.0,618046.0,133486.82784129336
Sweden,2755181.0,27399.0,10549349.0,261170.71299849876
Switzerland,4457868.0,14170.0,8740471.0,510026.06152460206
Syria,57423.0,3163.0,22125242.0,2595.3614428262526
Tajikistan,17786.0,125.0,9952789.0,1787.036779338937
Tanzania,43230.0,846.0,65497752.0,660.022652380497
Thailand,4799180.0,34715.0,71697024.0,66936.94845688435
Togo,39530.0,290.0,8848700.0,4467.32288358742
Tokelau,80.0,0.0,1893.0,42260.96143687269
Tonga,16976.0,12.0,106867.0,158851.65673219983
Trinidad and Tobago,191496.0,4390.0,1531043.0,125075.52041320852
Tunisia,1153361.0,29423.0,12356116.0,93343.32892310173
Turkey,17004718.0,101419.0,85341248.0,199255.55810948534
Turkmenistan,0.0,0.0,6430777.0,0.0
Turks and Caicos Islands,6805.0,40.0,45726.0,148821.2395573634
Tuvalu,2943.0,1.0,11335.0,259638.28848698724
Uganda,172154.0,3632.0,47249588.0,3643.5026692719525
Ukraine,5532777.0,109920.0,39701744.0,139358.53800276382
United Arab Emirates,1067030.0,2349.0,9441138.0,113019.2144209734
United Kingdom,24974629.0,232112.0,67508936.0,369945.52839641855
United States,103436829.0,1193165.0,338289856.0,305763.9097519968
United States Virgin Islands,25389.0,132.0,99479.0,255219.69460891242
Upper-middle-income countries,251753518.0,2824452.0,2525921300.0,99667.99757379615
Uruguay,1041346.0,7682.0,3422796.0,304238.40626201505
Uzbekistan,175081.0,1016.0,34627648.0,5056.104301395232
Vanuatu,12019.0,14.0,326744.0,36784.149058590214
Vatican,26.0,0.0,808.0,32178.21782178218
Venezuela,552695.0,5856.0,28301700.0,19528.68555599134
Vietnam,11624000.0,43206.0,98186856.0,118386.51804881093
Wallis and Futuna,3760.0,9.0,11596.0,324249.74129010004
World,775866783.0,7057132.0,7975105024.0,97286.08973363158
Yemen,11945.0,2159.0,33696612.0,354.48667658339065
Zambia,349842.0,4077.0,20017670.0,17476.659371445327
Zimbabwe,266386.0,5740.0,16320539.0,16322.132498197518
